,isFlowering,leafing,floweringIntensity,segmentation,observation_id,polygon_id,date,globalId,latin
0,no,0,0,good,z8Cpq2o5hRsOjfPOABOz,06470e14-a7a9-4685-bdf0-14ee6307e7dc_2022-11-24,2022_11_24,06470e14-a7a9-4685-bdf0-14ee6307e7dc,Ceiba pentandra
1,no,0,0,good,isMBAZ4fQpVGVzfG2aDk,06b1e9ec-291f-4534-9ed0-b309b0646b5d_2019-05-31,2019_05_31,06b1e9ec-291f-4534-9ed0-b309b0646b5d,Quararibea stenophylla
2,no,0,0,good,oYTRDxZt2mBKaWcrjTGN,0732ecc5-a138-46a7-bf04-908e86f59c7f_2023-11-27,2023_11_27,0732ecc5-a138-46a7-bf04-908e86f59c7f,Ceiba pentandra
3,no,0,0,good,UDlnwcpnUo6hMvTJ51Qr,0732ecc5-a138-46a7-bf04-908e86f59c7f_2024-01-03,2024_01_03,0732ecc5-a138-46a7-bf04-908e86f59c7f,Ceiba pentandra
4,no,0,0,good,snGANUM15xnDwLYrSKaT,0732ecc5-a138-46a7-bf04-908e86f59c7f_2024-02-08,2024_02_08,0732ecc5-a138-46a7-bf04-908e86f59c7f,Ceiba pentandra
5,no,0,0,good,oKqXuLWMp9Sap2aOHCYF,0732ecc5-a138-46a7-bf04-908e86f59c7f_2024-02-15,2024_02_15,0732ecc5-a138-46a7-bf04-908e86f59c7f,Ceiba pentandra
6,no,0,0,good,K5zNX1Ny0MGTLiRwq9qJ,078e0ab3-42ac-4a64-b96b-09cdf590f024_2019-03-25,2019_03_25,078e0ab3-42ac-4a64-b96b-09cdf590f024,Dipteryx oleifera
7,no,0,0,good,Kpm8NYzjagYcSyvy8nka,08c4ec87-3de9-40d7-b64e-d3a85534739e_2022-04-27,2022_04_27,08c4ec87-3de9-40d7-b64e-d3a85534739e,Cavanillesia platanifolia
8,no,0,0,good,MuwEuTI3bbvDrdZAzAr9,0e6d3e00-7797-46fb-b57c-039aca5ce308_2024-01-03,2024_01_03,0e6d3e00-7797-46fb-b57c-039aca5ce308,Ceiba pentandra
9,no,0,0,good,B39CD2adUhEtcw0vaY5W,0e6d3e00-7797-46fb-b57c-039aca5ce308_2024-02-08,2024_02_08,0e6d3e00-7797-46fb-b57c-039aca5ce308,Ceiba pentandra
10,no,0,0,good,9sxjKHG9BQ0Ug87qDDWR,131edf4c-b018-40a7-a803-0c76df88dc1d_2018-04-25,2018_04_25,131edf4c-b018-40a7-a803-0c76df88dc1d,Myrospermum frutescens
11,no,0,0,good,iSHTvgubinxBqb85PO0B,171af40a-2fab-4783-a657-f93ee86d7b42_2023-06-13,2023_06_13,171af40a-2fab-4783-a657-f93ee86d7b42,Quararibea stenophylla
12,no,0,0,okay,e8EBDx1FaFAMjUXVuo0V,1b0f9adc-7055-4149-a482-065fef556dfd_2018-08-27,2018_08_27,1b0f9adc-7055-4149-a482-065fef556dfd,Astronium graveolens
13,no,0,0,good,XgMJpmrdBh1j0S5at0OP,1c11ea21-4357-4c26-bfcb-3ff9d3e3d891_2022-04-27,2022_04_27,1c11ea21-4357-4c26-bfcb-3ff9d3e3d891,Ocotea whitei
14,no,0,0,good,H1iN8YZsDsIXancPSxI6,1dc4dc9a-4beb-4e3f-bfa5-42a6f781ec91_2018-08-27,2018_08_27,1dc4dc9a-4beb-4e3f-bfa5-42a6f781ec91,Handroanthus guayacan
15,no,0,0,good,aXoGcorHzcsTohvp4b4B,24ecc049-5b32-4786-824e-7ae320b3b40e_2018-04-25,2018_04_25,24ecc049-5b32-4786-824e-7ae320b3b40e,Pseudobombax septenatum
16,no,0,0,good,wJ9ZLmi1HKCIoubdQQlW,30a7e096-38c5-4063-ad74-316add4b989a_2018-04-04,2018_04_04,30a7e096-38c5-4063-ad74-316add4b989a,Cavanillesia platanifolia
17,no,0,0,good,QdSFULeE2plVjv7GLBPF,30a7e096-38c5-4063-ad74-316add4b989a_2018-04-25,2018_04_25,30a7e096-38c5-4063-ad74-316add4b989a,Cavanillesia platanifolia
18,no,0,0,good,jOXJMOxngKU56hnkfr8m,30a7e096-38c5-4063-ad74-316add4b989a_2023-05-02,2023_05_02,30a7e096-38c5-4063-ad74-316add4b989a,Cavanillesia platanifolia
19,no,0,0,good,6p8NOBwZ58wdIt5RLkbD,31d95e2f-f47b-49c9-ba99-46e69ba579b5_2018-04-25,2018_04_25,31d95e2f-f47b-49c9-ba99-46e69ba579b5,Cavanillesia platanifolia
