,isFlowering,leafing,floweringIntensity,segmentation,observation_id,polygon_id,date,globalId,latin
0,no,0,0,good,z8Cpq2o5hRsOjfPOABOz,06470e14-a7a9-4685-bdf0-14ee6307e7dc_2022-11-24,2022_11_24,06470e14-a7a9-4685-bdf0-14ee6307e7dc,Ceiba pentandra
1,no,0,0,good,ivOePmjdlKaxHzY6Grqm,06470e14-a7a9-4685-bdf0-14ee6307e7dc_2023-03-21,2023_03_21,06470e14-a7a9-4685-bdf0-14ee6307e7dc,Ceiba pentandra
2,no,0,0,good,bzlyxvIfjnmxEt42YbfI,06470e14-a7a9-4685-bdf0-14ee6307e7dc_2023-03-28,2023_03_28,06470e14-a7a9-4685-bdf0-14ee6307e7dc,Ceiba pentandra
3,no,0,0,good,mFMlNZac7tJMdCXnctS4,06470e14-a7a9-4685-bdf0-14ee6307e7dc_2023-04-04,2023_04_04,06470e14-a7a9-4685-bdf0-14ee6307e7dc,Ceiba pentandra
4,no,0,0,good,isMBAZ4fQpVGVzfG2aDk,06b1e9ec-291f-4534-9ed0-b309b0646b5d_2019-05-31,2019_05_31,06b1e9ec-291f-4534-9ed0-b309b0646b5d,Quararibea stenophylla
5,no,0,0,good,oYTRDxZt2mBKaWcrjTGN,0732ecc5-a138-46a7-bf04-908e86f59c7f_2023-11-27,2023_11_27,0732ecc5-a138-46a7-bf04-908e86f59c7f,Ceiba pentandra
6,no,0,0,good,UDlnwcpnUo6hMvTJ51Qr,0732ecc5-a138-46a7-bf04-908e86f59c7f_2024-01-03,2024_01_03,0732ecc5-a138-46a7-bf04-908e86f59c7f,Ceiba pentandra
7,no,0,0,good,snGANUM15xnDwLYrSKaT,0732ecc5-a138-46a7-bf04-908e86f59c7f_2024-02-08,2024_02_08,0732ecc5-a138-46a7-bf04-908e86f59c7f,Ceiba pentandra
8,no,0,0,good,oKqXuLWMp9Sap2aOHCYF,0732ecc5-a138-46a7-bf04-908e86f59c7f_2024-02-15,2024_02_15,0732ecc5-a138-46a7-bf04-908e86f59c7f,Ceiba pentandra
9,no,0,0,good,K5zNX1Ny0MGTLiRwq9qJ,078e0ab3-42ac-4a64-b96b-09cdf590f024_2019-03-25,2019_03_25,078e0ab3-42ac-4a64-b96b-09cdf590f024,Dipteryx oleifera
