,field_1,polygon_id,leafing,isFlowerin,date,rccM,gccM,bccM,ExGM,gvM,npvM,shadowM,rSD,gSD,bSD,ExGSD,gvSD,npvSD,gcorSD,gcorMD,entropy,elevSD,leafing_predicted,bias
331,331,0e6d3e00-7797-46fb-b57c-039aca5ce308_2024-01-03,0.0,,2024_01_03,0.3482879589204515,0.3501022640776168,0.3016097770019315,21.9032720435245,0.3477981264807747,0.6324101334015543,0.1082554534657678,36.71296684643215,34.2526661200368,35.30966835718821,13.63351642061924,0.1176132982588998,0.238817173406499,0.0037941749901107,0.9841994531661176,3.623814316287868,6.605566989160031,5.210719108581543,5.210719108581543
1283,1283,60f88280-ea70-49e3-812f-79915e7c7882_2023-05-23,40.0,yes,2023_05_23,0.348925974252915,0.3352468940761363,0.3158271316709488,0.4890268858937266,0.1745485469253934,0.8446098022007634,-0.1640075085101608,34.78816215449753,30.323080907995717,35.898018402905976,31.69761307440688,0.2446692879153805,0.3844017898500768,0.0058317747672021,0.9747402175612448,3.7236647248846633,2.5431004657842013,45.44781494140625,5.44781494140625
1789,1789,909896cf-378e-4a6c-9d2f-a0b058b1c492_2023-05-23,50.0,,2023_05_23,0.3575288842268621,0.3647238369719338,0.2777472788012041,42.77469547747165,0.5936546780284687,0.5390174691621862,-0.1537959227531286,35.591731829023246,34.660517699366686,35.01811458162808,23.2512273610502,0.2509053073205889,0.2339663488550332,0.0055016547793007,0.9754319010568814,3.616267168095777,8.480230374919428,56.2114143371582,6.211414337158203
1662,1662,80acabb6-ad48-4799-80bc-1a4c0fd71656_2024-01-17,0.0,no,2024_01_17,0.339113846782679,0.338265170857083,0.322620982360238,5.409685988213563,0.1387943705700175,0.6366091296859677,0.3361582968773385,47.366381907892446,44.637151948962455,43.191690682913794,10.945913444905838,0.1219535788553606,0.2649798200095366,0.0056759469210917,0.9779194885071284,3.674221946459173,2.697096884704425,6.505640983581543,6.505640983581543
1850,1850,93d06e14-3d23-493c-a0b1-f74fd674eb46_2023-06-13,15.0,no,2023_06_13,0.3484381232497842,0.345085844241463,0.3064760325087527,14.58369524527551,0.2930943316287231,0.7356072738457144,0.0243506943961044,38.51202946181728,34.51102465819612,39.55124938362895,20.03937377301429,0.1544780564173159,0.3089676073840715,0.0055170835981375,0.9776918030065052,3.698595250140096,3.772446153926349,21.526779174804688,6.5267791748046875
495,495,24a5f646-9ef6-4e62-89fe-963cd03a3d0f_2023-04-04,0.0,no,2023_04_04,0.3513010931575359,0.3491764943078346,0.2995224125346294,17.8854140395124,0.3231556556189707,0.6359343199994618,-0.0765881836163762,50.01228871353023,47.15383362919162,47.909050331867405,19.30193233304581,0.1694938219989507,0.3368050530796787,0.0085402502087446,0.9658353542663138,3.738842927483829,6.166017534885104,6.771938323974609,6.771938323974609
564,564,2bbdf792-0d37-4808-9457-254f37e8aaf5_2023-04-04,3.0,,2023_04_04,0.3424317184291142,0.3469409618090764,0.3106273197618094,20.606507708171552,0.3065557301913013,0.6952490214042143,0.4614314318845944,33.72821644905519,32.78896378607275,35.15843171247727,14.800938411045516,0.1431580423977784,0.2076314108293836,0.0059783945693854,0.9762922399031366,3.905339832966072,7.334101969025549,10.310392379760742,7.310392379760742
511,511,24ecc049-5b32-4786-824e-7ae320b3b40e_2019-02-25,0.0,no,2019_02_25,0.3287705111052882,0.3611443156331424,0.3100851732615691,32.93228279915991,0.3222724357059388,0.4288455104083009,1.159296385120841,58.25593486071477,54.18249132691572,56.48552056490315,24.259510345087595,0.1901570642732786,0.4135757285740054,0.0135558656164282,0.9473759797849488,4.311050241920803,5.408897512809304,7.4868483543396,7.4868483543396
298,298,0e00b9db-e0d8-419f-94ba-8a57c52ce70b_2023-03-07,90.0,yes,2023_03_07,0.3485084912482066,0.3833692116239381,0.2681222971278552,58.07679703427625,0.6502643794063158,0.2350823963673811,0.4119937034392898,40.54387462807885,37.92871836682603,31.37613875158365,15.246782979444536,0.1964269690152489,0.2301703646734371,0.0048010920829365,0.9809821106177729,3.388353667610133,3.5050208059163626,97.63557434082031,7.6355743408203125
170,170,0732ecc5-a138-46a7-bf04-908e86f59c7f_2024-02-21,0.0,no,2024_02_21,0.3518359344217248,0.3509212629759445,0.2972428026023306,23.389710064237264,0.3855802359688804,0.6488786566466908,-0.0605219604186778,44.86329651749105,43.5668617460473,41.86506032455386,16.695906946012492,0.1852230072270333,0.240993769576299,0.004242450905364,0.9821258879672604,3.3491970874120924,4.843953675331587,8.270092964172363,8.270092964172363
