system:index,GlobalID,date,leafing,timestamp,.geo
0,76424c7c-518a-415d-bcb8-b8933683c2ed,2019_01_28,Out of Leafs,2024-11-25T21:00:23.790Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,ff26abf5-32aa-4392-8733-c54a65022cd4,2019_01_28,Out of Leafs,2024-11-25T21:00:30.138Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,daafdede-11d2-48f0-a7fb-a5551de01aa5,2019_01_28,Out of Leafs,2024-11-25T21:00:32.628Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0a98be03-81a4-46b5-8be7-5ad7b14c2478,2019_01_28,Out of Leafs,2024-11-25T21:00:37.091Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4c8542e8-ec9d-4d89-bc3d-1d15b96cc9a7,2019_01_28,Partially Leafed,2024-11-25T21:00:43.294Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,05349bf1-e177-489a-a404-e043dbe2060d,2019_01_28,Out of Leafs,2024-11-25T21:00:45.031Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,9f97f686-716c-4f46-bd8e-f8f740032722,2019_01_28,Partially Leafed,2024-11-25T21:00:49.300Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1b2d824f-e332-48a7-900c-36972643cdc6,2019_01_28,Out of Leafs,2024-11-25T21:01:05.032Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,f031a0ac-1fe2-412b-84a4-e624fc86797c,2019_01_28,Partially Leafed,2024-11-25T21:01:07.287Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,5d38cc30-e80b-480a-8f86-89f86488416e,2019_01_28,Partially Leafed,2024-11-25T21:01:10.371Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,75e480c4-9d0a-44d2-94e5-6923db02a122,2019_01_28,Out of Leafs,2024-11-25T21:01:16.962Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,fc37b86f-b048-4359-93ff-8e78b6b38712,2019_01_28,Out of Leafs,2024-11-25T21:01:22.777Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,a114c3c2-1bd8-4aa7-8891-3402f47eba0a,2019_01_28,Partially Leafed,2024-11-25T21:01:28.275Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,b0e0daf6-3d04-4565-ad3f-42b83e21c188,2019_01_28,Out of Leafs,2024-11-25T21:01:31.180Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,bf6b2ddd-d70e-4653-84be-edc102d5d81b,2019_01_28,Out of Leafs,2024-11-25T21:01:35.326Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,31cb4ec2-1f18-4516-9fdd-5e1e7bfb81de,2018_04_04,Out of Leafs,2024-11-25T21:01:39.959Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,31cb4ec2-1f18-4516-9fdd-5e1e7bfb81de,2019_01_28,Out of Leafs,2024-11-25T21:01:40.957Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,03f69786-9e70-408a-a727-7ff0512d0551,2019_01_28,Partially Leafed,2024-11-25T21:01:46.077Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,465bd079-159e-4f49-9f50-ba040fa0ae36,2019_01_28,Partially Leafed,2024-11-25T21:01:49.918Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,d6b6e4ed-8feb-499a-838c-a788619747da,2019_01_28,Partially Leafed,2024-11-25T21:01:51.786Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,d6b6e4ed-8feb-499a-838c-a788619747da,2019_02_25,Partially Leafed,2024-11-25T21:01:59.556Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,60f88280-ea70-49e3-812f-79915e7c7882,2019_02_25,Partially Leafed,2024-11-25T21:02:03.840Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
