system:index,GlobalID,date,leafing,timestamp,.geo
0,a30c93d4-9c1c-461d-8690-be2592f775ff,2022_03_30,Out of Leafs,2024-11-25T21:23:02.764Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,a42f8633-4ba9-41af-b907-f44ea6c492af,2022_03_30,Out of Leafs,2024-11-25T21:23:08.050Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,d47b3678-9f11-4811-9930-c969df5fac0e,2022_03_30,Partially Leafed,2024-11-25T21:23:12.572Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,585de018-b608-4d42-8103-de304d87c5d6,2022_03_30,Partially Leafed,2024-11-25T21:23:19.233Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,d758611e-19bc-4281-ae0a-b7b87f87234c,2022_06_29,Partially Leafed,2024-11-25T21:23:30.046Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6d8feebe-e21b-4031-8b62-2c68228d16fa,2022_06_29,Fully Leafed,2024-11-25T21:23:37.077Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,909896cf-378e-4a6c-9d2f-a0b058b1c492,2022_06_29,Out of Leafs,2024-11-25T21:23:40.955Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,b19d8062-e35f-431c-852f-f7f1adf57f02,2022_06_29,Fully Leafed,2024-11-25T21:23:48.809Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,078e0ab3-42ac-4a64-b96b-09cdf590f024,2022_06_29,Fully Leafed,2024-11-25T21:23:51.727Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,80acabb6-ad48-4799-80bc-1a4c0fd71656,2022_06_29,Fully Leafed,2024-11-25T21:23:59.031Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,b0e0daf6-3d04-4565-ad3f-42b83e21c188,2022_06_29,Fully Leafed,2024-11-25T21:24:08.960Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,f6a001af-e0e1-424b-9d59-257af22c954e,2022_06_29,Fully Leafed,2024-11-25T21:24:13.972Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,55361361-366c-4089-8c16-72a4781539c2,2022_06_29,Fully Leafed,2024-11-25T21:24:19.855Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,24ecc049-5b32-4786-824e-7ae320b3b40e,2022_06_29,Fully Leafed,2024-11-25T21:24:22.392Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,31cb4ec2-1f18-4516-9fdd-5e1e7bfb81de,2022_06_29,Fully Leafed,2024-11-25T21:24:25.853Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,c5628eaf-3383-4ab8-98e6-29c9f6c2d796,2022_11_24,Fully Leafed,2024-11-25T21:24:34.594Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,b5133434-1910-4069-9e34-899fac89dea3,2022_11_24,Out of Leafs,2024-11-25T21:24:43.598Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,54cc22ba-640a-42b9-bae0-eb02554086cf,2022_11_24,Out of Leafs,2024-11-25T21:24:48.662Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3b4679bd-76b6-43fe-b740-9f274fea7195,2022_11_24,Fully Leafed,2024-11-25T21:24:52.291Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,d6037f14-e0b7-4093-a7fa-70db99defcd7,2022_11_24,Partially Leafed,2024-11-25T21:25:00.873Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,c610d05b-81e1-4611-a573-e9719f8cc0c4,2022_11_24,Fully Leafed,2024-11-25T21:25:06.836Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4c8542e8-ec9d-4d89-bc3d-1d15b96cc9a7,2022_11_24,Fully Leafed,2024-11-25T21:25:16.304Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,05349bf1-e177-489a-a404-e043dbe2060d,2023_03_07,Out of Leafs,2024-11-25T21:25:29.846Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,badee35d-7b09-4d87-9b4a-b052af7c3749,2023_03_07,Out of Leafs,2024-11-25T21:25:34.845Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0a98be03-81a4-46b5-8be7-5ad7b14c2478,2023_03_07,Out of Leafs,2024-11-25T21:25:41.555Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,ff26abf5-32aa-4392-8733-c54a65022cd4,2023_03_07,Partially Leafed,2024-11-25T21:25:47.331Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
